cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
E7.8.327	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.955747301495011	14.7955383541707	0.739495396614075	0.372113227844238
E7.9.539	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.946911454753154	14.4967763579547	1.11667835712433	0.167216867208481
E7.11.842	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.982537067533262	15.2292485144547	0.950852572917938	0.742900371551514
E7.12.872	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.861928285526113	14.3274431432852	0.376998871564865	-0.717072784900665
E7.12.879	E7	EPI.PrE.INT	Ambiguous	Ambiguous	0.224628103412719	NA	-0.106242448091507	-1.973548412323
E7.13.882	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.911649424041027	15.2668825542856	1.26786804199219	0.90684312582016
E7.13.883	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.869674078210999	15.2668825542856	1.25908589363098	1.01179051399231
E7.14.895	E7	Epiblast	TE	TE	0.999725863263829	15.9953099134542	4.97842025756836	2.77530646324158
E7.14.905	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.966631964750787	15.2634469419783	1.71654999256134	0.963504493236542
E7.14.908	E7	Hypoblast	TE	TE	0.992842876792548	15.8031411903443	4.5583438873291	2.28067135810852
E7.16.1169	E7	Hypoblast	TE	TE	0.98620229145045	15.7434236578867	6.14478635787964	2.6116042137146
E7.17.1342	E7	Epiblast	Epiblast	Early_EPI	0.986913928500664	13.0515546586586	-1.99115633964539	-1.30495321750641
E7.17.1343	E7	Hypoblast	TE	TE	0.927569099848431	14.5500566791801	5.31561756134033	-0.434055089950562
E7.17.1346	E7	Epiblast	Epiblast	Early_EPI	0.976465049865447	12.960560220159	-1.97304999828339	-1.21244716644287
E7.17.1348	E7	Epiblast	Epiblast	Early_EPI	0.982267434023735	12.9133164725459	-1.91784381866455	-1.13565075397491
E7.6.264	E7	TE	TE	TE	0.999035573378502	15.660259746799	4.73898696899414	2.43704438209534
E7.8.312	E7	Epiblast	TE	TE	0.870783425533875	14.2616388773635	5.19860506057739	-0.133012995123863
E7.8.317	E7	Epiblast	TE	TE	0.947996596570913	14.2616388773635	5.69277954101562	-0.395909190177917
E7.9.556	E7	Epiblast	Epiblast	Early_EPI	0.50837762053484	12.6641579671912	4.51084804534912	-1.80477976799011
E7.9.571	E7	Epiblast	Epiblast	Early_EPI	0.866778622412976	12.7689887626667	-1.49669086933136	-1.27188634872437
E7.10.746	E7	TE	TE	TE	0.988446975274732	14.9520419780797	6.64059162139893	0.875261723995209
E7.10.747	E7	TE	TE	TE	0.998842286025436	14.5225520450444	6.83538436889648	0.277734369039536
E7.10.748	E7	TE	TE	TE	0.988211571549448	14.2950129322944	7.6329174041748	-0.23611107468605
E7.10.763	E7	TE	TE	TE	0.983961681674055	14.0702864103479	7.26604700088501	-0.484054625034332
E7.11.833	E7	TE	TE	TE	0.996234707349405	16.0134763717424	5.17894172668457	2.86475157737732
E7.11.835	E7	TE	TE	TE	0.999996034357962	15.4926552156261	5.5255069732666	1.87988924980164
E7.11.836	E7	TE	TE	TE	0.778183413036933	15.3634443976252	5.84835338592529	1.93616545200348
E7.11.837	E7	TE	TE	TE	0.973551826939392	15.1619284540444	5.90056800842285	1.26795315742493
E7.11.838	E7	TE	Ambiguous	Ambiguous	0.267817950241117	NA	5.65742969512939	1.47212278842926
E7.11.839	E7	TE	TE	TE	0.882766304033455	15.9393224481979	5.52817440032959	3.3012261390686
E7.11.840	E7	TE	TE	TE	0.999979225497219	15.8293681315661	5.15336608886719	2.6525559425354
E7.11.841	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.968183836123552	15.1856576427102	1.64023804664612	0.760952353477478
E7.11.844	E7	Hypoblast	TE	TE	0.999976003360688	15.7639465079778	5.1005859375	2.11300086975098
E7.11.845	E7	Hypoblast	TE	TE	0.784741496254651	15.7054006573332	4.7386589050293	2.07048583030701
E7.11.846	E7	Hypoblast	TE	TE	0.999859146230006	15.735844728113	4.86919689178467	2.13514804840088
E7.11.847	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.951985780884447	15.26746519823	2.1308605670929	1.09082341194153
E7.11.848	E7	TE	TE	TE	0.999998811699267	15.7767048158212	5.26615571975708	2.25807642936707
E7.11.849	E7	TE	TE	TE	0.999956025994142	15.6533842571897	5.24803352355957	2.10243010520935
E7.11.850	E7	TE	TE	TE	0.999999803784642	15.7061732012498	5.19311141967773	2.08340644836426
E7.11.851	E7	TE	TE	TE	0.999938923542027	15.7385647965627	5.17110157012939	2.27745175361633
E7.11.852	E7	TE	TE	TE	0.999997455250847	15.6759789850488	5.25878763198853	2.07137322425842
E7.11.853	E7	TE	TE	TE	0.999926193428479	15.7434203590834	5.18485927581787	2.28901648521423
E7.11.854	E7	TE	TE	TE	0.999998141896665	15.7061732012498	5.01373767852783	2.19975399971008
E7.11.856	E7	TE	TE	TE	0.999998529389088	15.7625366742585	5.16570520401001	2.49606561660767
E7.12.860	E7	TE	TE	TE	0.976126378656683	13.2704659804992	7.19336080551147	-2.42562508583069
E7.12.861	E7	Epiblast	TE	TE	0.966026870413539	13.046295664546	5.02789783477783	-2.73961973190308
E7.12.862	E7	TE	CTB	CTB	0.719894097394027	16.1470598546174	5.70260190963745	2.96856212615967
E7.12.863	E7	TE	TE	TE	0.9598552928891	13.282675256502	6.76980257034302	-2.12929654121399
E7.12.864	E7	TE	TE	TE	0.955746244483922	13.274649449464	6.95071458816528	-2.10750389099121
E7.12.870	E7	TE	TE	TE	0.943269644503574	13.1870526641438	7.25297260284424	-2.36925148963928
E7.12.874	E7	TE	TE	TE	0.991948567725999	12.9336352817423	6.82959270477295	-2.89585590362549
E7.12.875	E7	TE	TE	TE	0.970890733582409	13.2525276274716	7.0997486114502	-2.51597738265991
E7.12.876	E7	TE	TE	TE	0.974128481796381	13.5496494676433	7.07030773162842	-2.14756631851196
E7.12.878	E7	TE	TE	TE	0.993443155197439	13.0603815948061	6.66336250305176	-2.71920561790466
E7.13.881	E7	TE	TE	TE	0.973212487968826	16.1224909993312	5.93605995178223	3.48739433288574
E7.13.885	E7	TE	TE	TE	0.960500716704694	15.9615967063195	6.3196120262146	3.07694101333618
E7.13.887	E7	TE	TE	TE	0.996456241492461	15.7697521693711	6.15594863891602	2.74598217010498
E7.13.891	E7	TE	CTB	CTB	0.999473566010041	16.6401413206685	5.99285650253296	4.09673261642456
E7.14.893	E7	TE	TE	TE	0.996794248790618	14.4124757105055	6.69004106521606	-0.112876415252686
E7.14.896	E7	TE	TE	TE	0.999990617214501	16.0010889054069	5.11387300491333	2.65753841400146
E7.14.897	E7	TE	TE	TE	0.997013437239827	16.0220838095183	5.17097902297974	2.97479677200317
E7.14.898	E7	TE	TE	TE	0.99764380318786	16.0010889054069	5.25231122970581	2.79020810127258
E7.14.899	E7	TE	TE	TE	0.982948414006331	16.0214815386626	5.21547889709473	2.95471167564392
E7.14.900	E7	TE	TE	TE	0.993459691062792	15.9951327922106	5.22238826751709	2.87271213531494
E7.14.901	E7	TE	TE	TE	0.997221738084872	15.9973589671781	5.15906286239624	2.79977655410767
E7.14.902	E7	TE	Ambiguous	Ambiguous	0.460537450970443	NA	5.30950450897217	3.17500925064087
E7.14.903	E7	TE	CTB	CTB	0.517126816706833	16.3015618010059	5.54222345352173	3.56503915786743
E7.14.906	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.821686720286156	15.2729203409359	2.066969871521	1.05245983600616
